Year,Reporter,Reporter Code,Partner,Partner Code,Commodity Code,Export,Import,World Exports,World Imports,Reporter_std,Partner_std,RTA_Name,Date of Entry into Force (G),Original signatories,Coverage,RTA Composition,Signatory1,Signatory2,Signatory1_std,Signatory2_std,Agreement Year,Total Partner Trade,Total World Trade,Agreement_Index,key,country,date,GDP,country_std,key_un
2000.0,Bulgaria,100.0,North Macedonia,807.0,TOTAL,109896722.0,25884521.0,4821843864.0,6504688325.0,Bulgaria,North Macedonia,Bulgaria - North Macedonia,2000-01-01,Bulgaria; North Macedonia,Goods,Bilateral,Bulgaria,North Macedonia,Bulgaria,North Macedonia,2000.0,135781243.0,11326532189.0,0.0,Bulgaria-North Macedonia,Bulgaria,2000,13245834314.5104,Bulgaria,Bulgaria-North Macedonia
2000.0,Bulgaria,100.0,Rep. of Moldova,498.0,TOTAL,15852610.0,2225593.0,4821843864.0,6504688325.0,Bulgaria,Moldova,Moldova - Bulgaria,2004-12-01,"Bulgaria; Moldova, Republic of",Goods,Bilateral,Bulgaria,"Moldova, Republic of",Bulgaria,Moldova,2004.0,18078203.0,11326532189.0,-4.0,Bulgaria-Moldova,Bulgaria,2000,13245834314.5104,Bulgaria,Bulgaria-Rep. of Moldova
2000.0,Canada,124.0,Colombia,170.0,TOTAL,206918461.0,223660070.0,277420000000.0,240088000000.0,Canada,Colombia,Canada - Colombia,2011-08-15,Canada; Colombia,Goods & Services,Bilateral,Canada,Colombia,Canada,Colombia,2011.0,430578531.0,517508000000.0,-11.0,Canada-Colombia,Canada,2000,744773415931.587,Canada,Canada-Colombia
2000.0,Canada,124.0,Costa Rica,188.0,TOTAL,58018498.0,123141762.0,277420000000.0,240088000000.0,Canada,Costa Rica,Canada - Costa Rica,2002-11-01,Canada; Costa Rica,Goods,Bilateral,Canada,Costa Rica,Canada,Costa Rica,2002.0,181160260.0,517508000000.0,-2.0,Canada-Costa Rica,Canada,2000,744773415931.587,Canada,Canada-Costa Rica
2000.0,Canada,124.0,Honduras,340.0,TOTAL,10340293.0,43948845.0,277420000000.0,240088000000.0,Canada,Honduras,Canada - Honduras,2014-10-01,Canada; Honduras,Goods & Services,Bilateral,Canada,Honduras,Canada,Honduras,2014.0,54289138.0,517508000000.0,-14.0,Canada-Honduras,Canada,2000,744773415931.587,Canada,Canada-Honduras
2000.0,Canada,124.0,Jordan,400.0,TOTAL,15012879.0,1831970.0,277420000000.0,240088000000.0,Canada,Jordan,Canada - Jordan,2012-10-01,Canada; Jordan,Goods,Bilateral,Canada,Jordan,Canada,Jordan,2012.0,16844849.0,517508000000.0,-12.0,Canada-Jordan,Canada,2000,744773415931.587,Canada,Canada-Jordan
2000.0,Canada,124.0,Panama,591.0,TOTAL,37931716.0,9420990.0,277420000000.0,240088000000.0,Canada,Panama,Canada - Panama,2013-04-01,Canada; Panama,Goods & Services,Bilateral,Canada,Panama,Canada,Panama,2013.0,47352706.0,517508000000.0,-13.0,Canada-Panama,Canada,2000,744773415931.587,Canada,Canada-Panama
2000.0,Canada,124.0,Peru,604.0,TOTAL,137750905.0,127098729.0,277420000000.0,240088000000.0,Canada,Peru,Canada - Peru,2009-08-01,Canada; Peru,Goods & Services,Bilateral,Canada,Peru,Canada,Peru,2009.0,264849634.0,517508000000.0,-9.0,Canada-Peru,Canada,2000,744773415931.587,Canada,Canada-Peru
2000.0,Canada,124.0,Rep. of Korea,410.0,TOTAL,1520883768.0,3473827027.0,277420000000.0,240088000000.0,Canada,South Korea,"Canada - Korea, Republic of",2015-01-01,"Canada; Korea, Republic of",Goods & Services,Bilateral,Canada,"Korea, Republic of",Canada,South Korea,2015.0,4994710795.0,517508000000.0,-15.0,Canada-South Korea,Canada,2000,744773415931.587,Canada,Canada-Rep. of Korea
2000.0,Canada,124.0,Ukraine,804.0,TOTAL,16600815.0,82709226.0,277420000000.0,240088000000.0,Canada,Ukraine,Canada - Ukraine,2017-08-01,Canada; Ukraine,Goods,Bilateral,Canada,Ukraine,Canada,Ukraine,2017.0,99310041.0,517508000000.0,-17.0,Canada-Ukraine,Canada,2000,744773415931.587,Canada,Canada-Ukraine
